transcript_id	gene_id	gene_name
ENSSSCT00000038827	ENSSSCG00000005039	STYX
ENSSSCT00000051449	ENSSSCG00000005040	GNPNAT1
ENSSSCT00000064519	ENSSSCG00000005040	GNPNAT1
ENSSSCT00000004697	ENSSSCG00000004250	SLC35F1
ENSSSCT00000005824	ENSSSCG00000005287	PSAT1
ENSSSCT00000069033	ENSSSCG00000005287	PSAT1
ENSSSCT00000067387	ENSSSCG00000005287	PSAT1
ENSSSCT00000071616	ENSSSCG00000005041	FERMT2
ENSSSCT00000086394	ENSSSCG00000005041	FERMT2
ENSSSCT00000067646	ENSSSCG00000005041	FERMT2
ENSSSCT00000060621	ENSSSCG00000005041	FERMT2
ENSSSCT00000086399	ENSSSCG00000005041	FERMT2
ENSSSCT00000067048	ENSSSCG00000005041	FERMT2
ENSSSCT00000005557	ENSSSCG00000005041	FERMT2
ENSSSCT00000047893	ENSSSCG00000005041	FERMT2
ENSSSCT00000030561	ENSSSCG00000020885	NUS1
ENSSSCT00000106345	ENSSSCG00000058846	ENSSSCG00000058846
ENSSSCT00000004699	ENSSSCG00000004252	ENSSSCG00000004252
ENSSSCT00000083641	ENSSSCG00000043640	ENSSSCG00000043640
ENSSSCT00000086844	ENSSSCG00000004253	GOPC
ENSSSCT00000054920	ENSSSCG00000004253	GOPC
ENSSSCT00000059612	ENSSSCG00000004253	GOPC
ENSSSCT00000046257	ENSSSCG00000004253	GOPC
ENSSSCT00000071098	ENSSSCG00000044537	ENSSSCG00000044537
ENSSSCT00000093482	ENSSSCG00000056780	ENSSSCG00000056780
ENSSSCT00000098654	ENSSSCG00000051979	ENSSSCG00000051979
ENSSSCT00000084376	ENSSSCG00000041232	ENSSSCG00000041232
ENSSSCT00000101377	ENSSSCG00000051842	ENSSSCG00000051842
ENSSSCT00000098660	ENSSSCG00000054867	ENSSSCG00000054867
ENSSSCT00000005807	ENSSSCG00000056863	ENSSSCG00000056863
ENSSSCT00000097692	ENSSSCG00000060009	ENSSSCG00000060009
ENSSSCT00000091722	ENSSSCG00000054241	ENSSSCG00000054241
ENSSSCT00000103511	ENSSSCG00000053090	ENSSSCG00000053090
ENSSSCT00000098662	ENSSSCG00000054181	ENSSSCG00000054181
ENSSSCT00000092003	ENSSSCG00000062298	ENSSSCG00000062298
ENSSSCT00000072522	ENSSSCG00000049009	ENSSSCG00000049009
ENSSSCT00000066651	ENSSSCG00000044799	ENSSSCG00000044799
ENSSSCT00000101607	ENSSSCG00000063502	ENSSSCG00000063502
ENSSSCT00000095581	ENSSSCG00000058465	ENSSSCG00000058465
ENSSSCT00000094803	ENSSSCG00000057281	ENSSSCG00000057281
ENSSSCT00000106186	ENSSSCG00000053750	ENSSSCG00000053750
ENSSSCT00000097066	ENSSSCG00000062448	ENSSSCG00000062448
ENSSSCT00000100395	ENSSSCG00000051943	ENSSSCG00000051943
ENSSSCT00000094127	ENSSSCG00000059191	ENSSSCG00000059191
ENSSSCT00000004823	ENSSSCG00000004364	HACE1
ENSSSCT00000048824	ENSSSCG00000004364	HACE1
ENSSSCT00000059109	ENSSSCG00000004364	HACE1
ENSSSCT00000051567	ENSSSCG00000004364	HACE1
ENSSSCT00000088730	ENSSSCG00000004364	HACE1
ENSSSCT00000102709	ENSSSCG00000055927	ENSSSCG00000055927
ENSSSCT00000067217	ENSSSCG00000041713	ENSSSCG00000041713
ENSSSCT00000101858	ENSSSCG00000061344	ENSSSCG00000061344
ENSSSCT00000090056	ENSSSCG00000005043	DDHD1
ENSSSCT00000025969	ENSSSCG00000005043	DDHD1
ENSSSCT00000064162	ENSSSCG00000005043	DDHD1
ENSSSCT00000092253	ENSSSCG00000057315	ENSSSCG00000057315
ENSSSCT00000103834	ENSSSCG00000053831	ENSSSCG00000053831
ENSSSCT00000102179	ENSSSCG00000052615	ENSSSCG00000052615
ENSSSCT00000082977	ENSSSCG00000043786	ENSSSCG00000043786
ENSSSCT00000004702	ENSSSCG00000004254	DCBLD1
ENSSSCT00000079185	ENSSSCG00000004254	DCBLD1
ENSSSCT00000101080	ENSSSCG00000059238	ENSSSCG00000059238
ENSSSCT00000068410	ENSSSCG00000043441	ENSSSCG00000043441
ENSSSCT00000099015	ENSSSCG00000055465	ENSSSCG00000055465
ENSSSCT00000096888	ENSSSCG00000052069	ENSSSCG00000052069
ENSSSCT00000092700	ENSSSCG00000061420	ENSSSCG00000061420
ENSSSCT00000099494	ENSSSCG00000063145	ENSSSCG00000063145
ENSSSCT00000101524	ENSSSCG00000057344	ENSSSCG00000057344
ENSSSCT00000104361	ENSSSCG00000063291	ENSSSCG00000063291
ENSSSCT00000096377	ENSSSCG00000054831	ENSSSCG00000054831
ENSSSCT00000102517	ENSSSCG00000055999	ENSSSCG00000055999
ENSSSCT00000103732	ENSSSCG00000061404	ENSSSCG00000061404
ENSSSCT00000105543	ENSSSCG00000053722	ENSSSCG00000053722
ENSSSCT00000100394	ENSSSCG00000060841	ENSSSCG00000060841
ENSSSCT00000105696	ENSSSCG00000061657	ENSSSCG00000061657
ENSSSCT00000094202	ENSSSCG00000055736	ENSSSCG00000055736
ENSSSCT00000092875	ENSSSCG00000053577	ENSSSCG00000053577
ENSSSCT00000102077	ENSSSCG00000055350	ENSSSCG00000055350
ENSSSCT00000096573	ENSSSCG00000057019	ENSSSCG00000057019
ENSSSCT00000068368	ENSSSCG00000046602	ENSSSCG00000046602
ENSSSCT00000041797	ENSSSCG00000026978	ROS1
ENSSSCT00000095804	ENSSSCG00000053295	ENSSSCG00000053295
ENSSSCT00000005561	ENSSSCG00000005045	BMP4
ENSSSCT00000099293	ENSSSCG00000057291	ENSSSCG00000057291
ENSSSCT00000103268	ENSSSCG00000062661	ENSSSCG00000062661
ENSSSCT00000097963	ENSSSCG00000058160	ENSSSCG00000058160
ENSSSCT00000105170	ENSSSCG00000062380	ENSSSCG00000062380
ENSSSCT00000061284	ENSSSCG00000005047	CDKN3
ENSSSCT00000057404	ENSSSCG00000005047	CDKN3
ENSSSCT00000021534	ENSSSCG00000019939	ENSSSCG00000019939
ENSSSCT00000019861	ENSSSCG00000018266	U6
ENSSSCT00000088401	ENSSSCG00000037612	LIN28B
ENSSSCT00000043008	ENSSSCG00000037612	LIN28B
ENSSSCT00000102353	ENSSSCG00000052732	U6
ENSSSCT00000004825	ENSSSCG00000004366	BVES
ENSSSCT00000044926	ENSSSCG00000004366	BVES
ENSSSCT00000070276	ENSSSCG00000027256	CNIH1
ENSSSCT00000087760	ENSSSCG00000027256	CNIH1
ENSSSCT00000022519	ENSSSCG00000027256	CNIH1
ENSSSCT00000050324	ENSSSCG00000027256	CNIH1
ENSSSCT00000073444	ENSSSCG00000045461	ENSSSCG00000045461
ENSSSCT00000064779	ENSSSCG00000004255	VGLL2
ENSSSCT00000004703	ENSSSCG00000004255	VGLL2
ENSSSCT00000004828	ENSSSCG00000004367	POPDC3
ENSSSCT00000051754	ENSSSCG00000039333	RFX6
ENSSSCT00000055168	ENSSSCG00000004368	PREP
ENSSSCT00000004829	ENSSSCG00000004368	PREP
ENSSSCT00000005565	ENSSSCG00000026294	GMFB
ENSSSCT00000105998	ENSSSCG00000026294	GMFB
ENSSSCT00000031644	ENSSSCG00000026294	GMFB
ENSSSCT00000039702	ENSSSCG00000026294	GMFB
ENSSSCT00000091987	ENSSSCG00000053030	GPRC6A
ENSSSCT00000105293	ENSSSCG00000053030	GPRC6A
ENSSSCT00000070296	ENSSSCG00000035648	MANEA
ENSSSCT00000038684	ENSSSCG00000035648	MANEA
ENSSSCT00000058714	ENSSSCG00000038522	FAM162B
ENSSSCT00000040949	ENSSSCG00000035259	PHF3
ENSSSCT00000027967	ENSSSCG00000021451	CGRRF1
ENSSSCT00000099364	ENSSSCG00000038507	RPS29
ENSSSCT00000074782	ENSSSCG00000038507	RPS29
ENSSSCT00000005518	ENSSSCG00000038507	RPS29
ENSSSCT00000089310	ENSSSCG00000042849	ENSSSCG00000042849
ENSSSCT00000004718	ENSSSCG00000004269	ENSSSCG00000004269
ENSSSCT00000004795	ENSSSCG00000004339	UFL1
ENSSSCT00000102115	ENSSSCG00000005004	LRR1
ENSSSCT00000005520	ENSSSCG00000005004	LRR1
ENSSSCT00000004804	ENSSSCG00000004347	FBXL4
ENSSSCT00000089319	ENSSSCG00000004357	SIM1
ENSSSCT00000045978	ENSSSCG00000004357	SIM1
ENSSSCT00000005522	ENSSSCG00000005006	RPL36AL
ENSSSCT00000054799	ENSSSCG00000004275	FAM135A
ENSSSCT00000062959	ENSSSCG00000004275	FAM135A
ENSSSCT00000004725	ENSSSCG00000004275	FAM135A
ENSSSCT00000048702	ENSSSCG00000035611	MGAT2
ENSSSCT00000005523	ENSSSCG00000058931	DNAAF2
ENSSSCT00000069017	ENSSSCG00000005008	POLE2
ENSSSCT00000038321	ENSSSCG00000005008	POLE2
ENSSSCT00000079629	ENSSSCG00000005008	POLE2
ENSSSCT00000005524	ENSSSCG00000005008	POLE2
ENSSSCT00000004815	ENSSSCG00000004358	ASCC3
ENSSSCT00000058812	ENSSSCG00000004358	ASCC3
ENSSSCT00000004816	ENSSSCG00000004358	ASCC3
ENSSSCT00000066143	ENSSSCG00000004270	ADGRB3
ENSSSCT00000051347	ENSSSCG00000032489	KLHDC1
ENSSSCT00000061246	ENSSSCG00000032489	KLHDC1
ENSSSCT00000104441	ENSSSCG00000032489	KLHDC1
ENSSSCT00000005504	ENSSSCG00000004990	LRFN5
ENSSSCT00000089412	ENSSSCG00000004990	LRFN5
ENSSSCT00000059729	ENSSSCG00000004990	LRFN5
ENSSSCT00000094269	ENSSSCG00000061940	ENSSSCG00000061940
ENSSSCT00000068060	ENSSSCG00000004340	FHL5
ENSSSCT00000004796	ENSSSCG00000004340	FHL5
ENSSSCT00000104539	ENSSSCG00000055064	ENSSSCG00000055064
ENSSSCT00000100103	ENSSSCG00000058693	ENSSSCG00000058693
ENSSSCT00000068774	ENSSSCG00000005009	KLHDC2
ENSSSCT00000055603	ENSSSCG00000005009	KLHDC2
ENSSSCT00000087242	ENSSSCG00000043582	ENSSSCG00000043582
ENSSSCT00000092081	ENSSSCG00000062347	ENSSSCG00000062347
ENSSSCT00000099508	ENSSSCG00000063225	ENSSSCG00000063225
ENSSSCT00000097484	ENSSSCG00000059734	ENSSSCG00000059734
ENSSSCT00000049315	ENSSSCG00000035240	GPR63
ENSSSCT00000063337	ENSSSCG00000035240	GPR63
ENSSSCT00000099221	ENSSSCG00000061474	ENSSSCG00000061474
ENSSSCT00000005527	ENSSSCG00000005011	NEMF
ENSSSCT00000078638	ENSSSCG00000032312	RAB11A
ENSSSCT00000071291	ENSSSCG00000032312	RAB11A
ENSSSCT00000060675	ENSSSCG00000032312	RAB11A
ENSSSCT00000064333	ENSSSCG00000032312	RAB11A
ENSSSCT00000105904	ENSSSCG00000052772	ENSSSCG00000052772
ENSSSCT00000101570	ENSSSCG00000062778	ENSSSCG00000062778
ENSSSCT00000004798	ENSSSCG00000004342	NDUFAF4
ENSSSCT00000101738	ENSSSCG00000062667	ENSSSCG00000062667
ENSSSCT00000102063	ENSSSCG00000057815	ENSSSCG00000057815
ENSSSCT00000100855	ENSSSCG00000056101	POU3F2
ENSSSCT00000072837	ENSSSCG00000045756	ENSSSCG00000045756
ENSSSCT00000074052	ENSSSCG00000005012	ARF6
ENSSSCT00000058177	ENSSSCG00000005012	ARF6
ENSSSCT00000005528	ENSSSCG00000005012	ARF6
ENSSSCT00000075062	ENSSSCG00000050274	ENSSSCG00000050274
ENSSSCT00000091336	ENSSSCG00000045405	ENSSSCG00000045405
ENSSSCT00000092947	ENSSSCG00000057772	ENSSSCG00000057772
ENSSSCT00000070500	ENSSSCG00000049406	ENSSSCG00000049406
ENSSSCT00000095453	ENSSSCG00000063275	ENSSSCG00000063275
ENSSSCT00000098611	ENSSSCG00000060544	ENSSSCG00000060544
ENSSSCT00000095084	ENSSSCG00000058430	ENSSSCG00000058430
ENSSSCT00000077513	ENSSSCG00000041223	ENSSSCG00000041223
ENSSSCT00000062359	ENSSSCG00000005029	RTRAF
ENSSSCT00000005545	ENSSSCG00000005029	RTRAF
ENSSSCT00000079026	ENSSSCG00000047501	ENSSSCG00000047501
ENSSSCT00000096798	ENSSSCG00000059402	ENSSSCG00000059402
ENSSSCT00000103382	ENSSSCG00000056624	ENSSSCG00000056624
ENSSSCT00000099130	ENSSSCG00000061626	ENSSSCG00000061626
ENSSSCT00000104409	ENSSSCG00000062515	ENSSSCG00000062515
ENSSSCT00000091831	ENSSSCG00000060707	ENSSSCG00000060707
ENSSSCT00000097618	ENSSSCG00000063200	ENSSSCG00000063200
ENSSSCT00000083580	ENSSSCG00000042509	ENSSSCG00000042509
ENSSSCT00000067539	ENSSSCG00000045454	ENSSSCG00000045454
ENSSSCT00000104215	ENSSSCG00000060554	ENSSSCG00000060554
ENSSSCT00000085153	ENSSSCG00000048135	ENSSSCG00000048135
ENSSSCT00000085755	ENSSSCG00000042619	ENSSSCG00000042619
ENSSSCT00000079418	ENSSSCG00000051730	ENSSSCG00000051730
ENSSSCT00000067911	ENSSSCG00000047707	ENSSSCG00000047707
ENSSSCT00000090728	ENSSSCG00000044402	ENSSSCG00000044402
ENSSSCT00000056085	ENSSSCG00000005030	NID2
ENSSSCT00000104721	ENSSSCG00000005030	NID2
ENSSSCT00000096082	ENSSSCG00000005030	NID2
ENSSSCT00000101597	ENSSSCG00000053196	ENSSSCG00000053196
ENSSSCT00000096591	ENSSSCG00000053772	ENSSSCG00000053772
ENSSSCT00000100112	ENSSSCG00000061127	ENSSSCG00000061127
ENSSSCT00000104647	ENSSSCG00000062408	ENSSSCG00000062408
ENSSSCT00000106327	ENSSSCG00000062363	ENSSSCG00000062363
ENSSSCT00000100948	ENSSSCG00000056194	ENSSSCG00000056194
ENSSSCT00000097849	ENSSSCG00000057168	ENSSSCG00000057168
ENSSSCT00000094417	ENSSSCG00000059792	ENSSSCG00000059792
ENSSSCT00000100564	ENSSSCG00000061780	ENSSSCG00000061780
ENSSSCT00000070771	ENSSSCG00000049526	ENSSSCG00000049526
ENSSSCT00000097913	ENSSSCG00000053851	ENSSSCG00000053851
ENSSSCT00000064802	ENSSSCG00000004939	MEGF11
ENSSSCT00000027580	ENSSSCG00000004939	MEGF11
ENSSSCT00000062824	ENSSSCG00000004939	MEGF11
ENSSSCT00000005450	ENSSSCG00000004939	MEGF11
ENSSSCT00000068719	ENSSSCG00000043225	ENSSSCG00000043225
ENSSSCT00000097489	ENSSSCG00000059926	ENSSSCG00000059926
ENSSSCT00000093966	ENSSSCG00000055766	ENSSSCG00000055766
ENSSSCT00000102429	ENSSSCG00000051931	ENSSSCG00000051931
ENSSSCT00000102474	ENSSSCG00000058291	ENSSSCG00000058291
ENSSSCT00000094022	ENSSSCG00000054194	ENSSSCG00000054194
ENSSSCT00000094475	ENSSSCG00000057553	ENSSSCG00000057553
ENSSSCT00000098494	ENSSSCG00000059866	ENSSSCG00000059866
ENSSSCT00000088924	ENSSSCG00000046110	ENSSSCG00000046110
ENSSSCT00000099330	ENSSSCG00000062113	ENSSSCG00000062113
ENSSSCT00000099195	ENSSSCG00000062499	ENSSSCG00000062499
ENSSSCT00000100592	ENSSSCG00000059823	ENSSSCG00000059823
ENSSSCT00000103346	ENSSSCG00000059823	ENSSSCG00000059823
ENSSSCT00000100411	ENSSSCG00000059823	ENSSSCG00000059823
ENSSSCT00000096256	ENSSSCG00000059823	ENSSSCG00000059823
ENSSSCT00000102521	ENSSSCG00000059823	ENSSSCG00000059823
ENSSSCT00000005547	ENSSSCG00000057054	PTGDR
ENSSSCT00000096823	ENSSSCG00000063379	ENSSSCG00000063379
ENSSSCT00000025684	ENSSSCG00000021862	PTGER2
ENSSSCT00000103110	ENSSSCG00000060802	ENSSSCG00000060802
ENSSSCT00000079776	ENSSSCG00000046711	ENSSSCG00000046711
ENSSSCT00000103624	ENSSSCG00000058751	U6
ENSSSCT00000005543	ENSSSCG00000005027	FRMD6
ENSSSCT00000066327	ENSSSCG00000005027	FRMD6
ENSSSCT00000020564	ENSSSCG00000018969	U6
ENSSSCT00000022113	ENSSSCG00000020518	U6
ENSSSCT00000021407	ENSSSCG00000019812	MIR2113
ENSSSCT00000089616	ENSSSCG00000048270	ENSSSCG00000048270
ENSSSCT00000102867	ENSSSCG00000057794	ENSSSCG00000057794
ENSSSCT00000094955	ENSSSCG00000062081	ENSSSCG00000062081
ENSSSCT00000096031	ENSSSCG00000055234	ENSSSCG00000055234
ENSSSCT00000073390	ENSSSCG00000047735	ENSSSCG00000047735
ENSSSCT00000096630	ENSSSCG00000047735	ENSSSCG00000047735
ENSSSCT00000069457	ENSSSCG00000028092	ENSSSCG00000028092
ENSSSCT00000040747	ENSSSCG00000028092	ENSSSCG00000028092
ENSSSCT00000029733	ENSSSCG00000028092	ENSSSCG00000028092
ENSSSCT00000068142	ENSSSCG00000028092	ENSSSCG00000028092
ENSSSCT00000071045	ENSSSCG00000028092	ENSSSCG00000028092
ENSSSCT00000105434	ENSSSCG00000054924	U6
ENSSSCT00000101874	ENSSSCG00000063060	U6
ENSSSCT00000022075	ENSSSCG00000020480	U6
ENSSSCT00000084905	ENSSSCG00000043187	U2
ENSSSCT00000020721	ENSSSCG00000019126	U6
ENSSSCT00000005453	ENSSSCG00000004941	DIS3L
ENSSSCT00000005454	ENSSSCG00000004942	TIPIN
ENSSSCT00000084786	ENSSSCG00000046948	ENSSSCG00000046948
ENSSSCT00000105666	ENSSSCG00000004943	MAP2K1
ENSSSCT00000082429	ENSSSCG00000004943	MAP2K1
ENSSSCT00000104742	ENSSSCG00000004943	MAP2K1
ENSSSCT00000036045	ENSSSCG00000004943	MAP2K1
ENSSSCT00000071726	ENSSSCG00000036735	VCPKMT
ENSSSCT00000047365	ENSSSCG00000036735	VCPKMT
ENSSSCT00000005531	ENSSSCG00000005015	SOS2
ENSSSCT00000081566	ENSSSCG00000005015	SOS2
ENSSSCT00000080908	ENSSSCG00000050792	ENSSSCG00000050792
ENSSSCT00000058026	ENSSSCG00000005016	L2HGDH
ENSSSCT00000063003	ENSSSCG00000005016	L2HGDH
ENSSSCT00000005532	ENSSSCG00000005016	L2HGDH
ENSSSCT00000079344	ENSSSCG00000005016	L2HGDH
ENSSSCT00000094980	ENSSSCG00000031354	DMAC2L
ENSSSCT00000094790	ENSSSCG00000031354	DMAC2L
ENSSSCT00000041018	ENSSSCG00000031354	DMAC2L
ENSSSCT00000039137	ENSSSCG00000031354	DMAC2L
ENSSSCT00000051828	ENSSSCG00000038941	SNAPC5
ENSSSCT00000005457	ENSSSCG00000004945	RPL4
ENSSSCT00000074072	ENSSSCG00000004945	RPL4
ENSSSCT00000087662	ENSSSCG00000004945	RPL4
ENSSSCT00000061949	ENSSSCG00000004945	RPL4
ENSSSCT00000056491	ENSSSCG00000004945	RPL4
ENSSSCT00000074630	ENSSSCG00000005787	CTDP1
ENSSSCT00000027561	ENSSSCG00000005787	CTDP1
ENSSSCT00000006363	ENSSSCG00000005787	CTDP1
ENSSSCT00000078310	ENSSSCG00000034516	CDKL1
ENSSSCT00000075014	ENSSSCG00000034516	CDKL1
ENSSSCT00000061065	ENSSSCG00000034516	CDKL1
ENSSSCT00000022460	ENSSSCG00000027654	NETO1
ENSSSCT00000051530	ENSSSCG00000027654	NETO1
ENSSSCT00000087108	ENSSSCG00000036634	MAP4K5
ENSSSCT00000053912	ENSSSCG00000036634	MAP4K5
ENSSSCT00000088878	ENSSSCG00000005785	PCSK6
ENSSSCT00000082193	ENSSSCG00000005785	PCSK6
ENSSSCT00000006361	ENSSSCG00000005785	PCSK6
ENSSSCT00000044351	ENSSSCG00000005785	PCSK6
ENSSSCT00000005458	ENSSSCG00000004946	ZWILCH
ENSSSCT00000044202	ENSSSCG00000004946	ZWILCH
ENSSSCT00000085605	ENSSSCG00000048049	ENSSSCG00000048049
ENSSSCT00000089833	ENSSSCG00000005020	ATL1
